age,gender,height_cm,weight_kg,bmi,fitness_level,goal,exercise,duration_min,intensity,sets,reps,heart_rate_avg,training_volume,effort_score,metabolic_proxy,hr_reserve_ratio,calories_burned,meal_plan
32,Female,160.3,92.4,35.96,Intermediate,Muscle Gain,Squats,38,Medium,3,10,144,30,114,2.8,0.766,475.4,mg_intermediate
16,Female,162.1,85.7,32.61,Intermediate,Fat Loss,Pull-ups,45,Medium,5,17,155,85,225,5.041,0.76,493.9,fl_intermediate
42,Male,179.1,90.1,28.09,Beginner,Muscle Gain,Push-ups,30,Medium,4,10,140,40,120,2.095,0.787,281.2,mg_beginner
29,Male,175.0,90.7,29.62,Intermediate,Muscle Gain,Squats,38,Low,3,6,128,18,114,3.023,0.67,327.4,mg_intermediate
27,Male,192.8,83.0,22.33,Intermediate,Fat Loss,Pull-ups,44,Medium,5,14,148,70,220,2.964,0.767,524.5,fl_intermediate
45,Male,164.1,94.3,35.02,Beginner,Fat Loss,Push-ups,36,Low,4,20,123,80,144,2.05,0.703,232.4,fl_beginner
31,Male,176.3,70.9,22.81,Intermediate,Muscle Gain,Pull-ups,36,Medium,4,9,145,36,144,2.216,0.767,315.1,mg_intermediate
44,Male,171.0,79.1,27.05,Beginner,Fat Loss,Push-ups,24,Low,5,19,124,95,120,1.758,0.705,156.2,fl_beginner
40,Female,174.3,75.4,24.82,Intermediate,Maintenance,Squats,28,Medium,2,13,139,26,56,1.839,0.772,235.0,mt_standard
29,Male,174.2,92.8,30.58,Advanced,Muscle Gain,Muscle-ups,67,Medium,4,10,144,40,268,3.093,0.754,1120.2,mg_advanced
18,Female,169.6,93.6,32.54,Intermediate,Muscle Gain,Squats,46,Medium,4,9,154,36,184,4.926,0.762,563.0,mg_intermediate
22,Female,162.7,73.7,27.84,Advanced,Muscle Gain,Muscle-ups,65,Medium,4,8,149,32,260,3.204,0.753,874.8,mg_advanced
48,Female,160.3,97.4,37.9,Beginner,Maintenance,Squats,34,Low,4,14,122,56,136,1.988,0.709,223.0,mt_standard
34,Male,177.4,106.8,33.94,Advanced,Fat Loss,Pull-ups,59,High,5,12,160,60,295,3.051,0.86,1494.0,fl_advanced
44,Female,158.7,85.3,33.87,Intermediate,Fat Loss,Pull-ups,42,Medium,3,15,137,45,126,1.896,0.778,448.9,fl_intermediate
23,Female,168.7,97.9,34.4,Intermediate,Muscle Gain,Pull-ups,44,Medium,5,11,150,55,220,4.079,0.761,511.9,mg_intermediate
29,Male,177.0,148.0,47.24,Beginner,Muscle Gain,Dips,32,Medium,3,10,149,30,96,4.933,0.78,581.3,mg_beginner
18,Male,177.0,92.0,29.37,Intermediate,Maintenance,Handstand,25,Low,3,14,133,42,75,4.842,0.658,173.8,mt_standard
28,Female,156.7,91.2,37.14,Intermediate,Muscle Gain,Squats,41,Low,4,7,128,28,164,3.145,0.667,345.1,mg_intermediate
22,Male,179.1,56.1,17.49,Beginner,Fat Loss,Push-ups,36,Low,4,13,135,52,144,2.439,0.682,147.3,fl_beginner
50,Male,168.1,65.2,23.07,Beginner,Muscle Gain,Push-ups,40,Medium,3,10,135,30,120,1.278,0.794,274.8,mg_beginner
31,Female,151.7,137.1,59.58,Intermediate,Muscle Gain,Pull-ups,44,Low,5,7,127,35,220,4.284,0.672,595.1,mg_intermediate
51,Female,160.4,99.0,38.48,Beginner,Muscle Gain,Dips,29,Low,3,12,120,36,87,1.904,0.71,218.7,mg_beginner
19,Male,175.8,91.2,29.51,Advanced,Maintenance,Handstand,47,High,4,15,172,60,188,4.56,0.856,660.5,mt_standard
44,Male,166.8,71.8,25.81,Intermediate,Fat Loss,Pull-ups,31,Medium,4,20,137,80,124,1.596,0.778,302.6,fl_intermediate
40,Female,161.8,100.7,38.47,Intermediate,Maintenance,Pull-ups,31,Medium,3,12,139,36,93,2.456,0.772,412.1,mt_standard
21,Male,164.0,101.9,37.89,Intermediate,Muscle Gain,Pull-ups,59,High,3,8,172,24,177,4.632,0.864,1103.5,mg_intermediate
34,Male,162.4,61.6,23.36,Beginner,Muscle Gain,Push-ups,35,Low,5,7,129,35,175,1.76,0.694,146.0,mg_beginner
22,Female,161.2,88.9,34.21,Beginner,Maintenance,Push-ups,23,Medium,4,10,153,40,92,3.865,0.773,219.3,mt_standard
29,Female,148.0,69.5,31.73,Beginner,Fat Loss,Push-ups,37,Medium,5,14,149,70,185,2.317,0.78,312.9,fl_beginner
32,Male,182.8,76.7,22.95,Intermediate,Maintenance,Pull-ups,41,Medium,4,15,144,60,164,2.324,0.766,484.1,mt_standard
28,Female,171.3,99.1,33.77,Intermediate,Fat Loss,Squats,51,Low,4,16,128,64,204,3.417,0.667,437.2,fl_intermediate
56,Female,166.6,94.0,33.87,Intermediate,Fat Loss,Push-ups,32,Medium,5,13,129,65,160,1.649,0.787,402.6,fl_intermediate
18,Female,163.3,106.9,40.09,Intermediate,Muscle Gain,Squats,37,Medium,4,12,154,48,148,5.626,0.762,527.4,mg_intermediate
46,Female,179.8,63.0,19.49,Beginner,Fat Loss,Squats,22,Low,3,12,123,36,66,1.34,0.707,87.9,fl_beginner
34,Female,161.9,82.0,31.28,Intermediate,Muscle Gain,Dips,40,Medium,5,9,143,45,200,2.343,0.769,470.9,mg_intermediate
33,Female,170.0,111.9,38.72,Beginner,Muscle Gain,Push-ups,29,Low,5,11,129,55,145,3.291,0.69,270.4,mg_beginner
22,Female,157.3,61.9,25.02,Intermediate,Muscle Gain,Squats,43,Medium,5,8,151,40,215,2.691,0.763,331.2,mg_intermediate
31,Female,150.2,50.0,22.16,Intermediate,Fat Loss,Pull-ups,42,Medium,3,16,145,48,126,1.562,0.767,300.2,fl_intermediate
39,Male,189.1,107.9,30.17,Advanced,Muscle Gain,L-sit,57,High,3,8,156,24,171,2.698,0.862,970.1,mg_advanced
35,Female,163.4,73.6,27.57,Intermediate,Maintenance,Squats,31,High,2,13,161,26,62,2.044,0.87,389.5,mt_standard
36,Female,166.5,40.0,14.43,Beginner,Fat Loss,Push-ups,29,Low,5,18,128,90,145,1.081,0.696,102.3,fl_beginner
24,Male,172.5,94.1,31.62,Intermediate,Fat Loss,Pull-ups,47,Low,4,19,130,76,188,3.764,0.663,418.6,fl_intermediate
17,Male,183.9,79.7,23.57,Beginner,Fat Loss,Plank,26,Low,5,20,137,100,130,4.428,0.675,94.9,fl_beginner
43,Male,166.5,109.0,39.32,Beginner,Maintenance,Squats,25,Low,4,11,124,44,100,2.477,0.701,209.5,mt_standard
25,Male,170.6,75.1,25.8,Intermediate,Fat Loss,Push-ups,46,Medium,4,20,149,80,184,2.888,0.764,462.3,fl_intermediate
44,Male,174.5,60.3,19.8,Intermediate,Fat Loss,Push-ups,51,Medium,3,17,137,51,153,1.34,0.778,404.5,fl_intermediate
50,Male,172.4,40.0,13.46,Beginner,Muscle Gain,Dips,43,Medium,5,11,135,55,215,0.784,0.794,185.2,mg_beginner
25,Female,172.3,95.9,32.3,Beginner,Muscle Gain,Push-ups,25,Low,3,11,133,33,75,3.688,0.682,189.9,mg_beginner
59,Male,182.8,103.5,30.97,Beginner,Fat Loss,Squats,25,Low,4,20,116,80,100,1.725,0.72,225.4,fl_beginner
47,Male,182.1,103.8,31.3,Advanced,Fat Loss,L-sit,65,Low,4,17,115,68,260,2.163,0.665,495.0,fl_advanced
21,Male,168.3,78.2,27.61,Intermediate,Muscle Gain,Dips,58,Medium,4,10,152,40,232,3.555,0.764,613.2,mg_intermediate
35,Male,183.6,87.4,25.93,Intermediate,Muscle Gain,Pull-ups,53,Medium,4,6,143,24,212,2.428,0.773,613.8,mg_intermediate
31,Female,171.1,86.4,29.51,Advanced,Muscle Gain,Muscle-ups,59,Medium,4,10,143,40,236,2.7,0.757,1022.4,mg_advanced
39,Male,178.0,83.4,26.32,Beginner,Muscle Gain,Dips,26,Medium,3,9,142,27,78,2.085,0.785,235.2,mg_beginner
22,Male,166.4,115.3,41.64,Beginner,Muscle Gain,Push-ups,38,High,5,11,172,55,190,5.013,0.869,561.2,mg_beginner
24,Female,166.5,47.1,16.99,Beginner,Muscle Gain,Dips,29,Low,3,9,134,27,87,1.884,0.684,116.9,mg_beginner
45,Male,173.8,85.5,28.31,Beginner,Fat Loss,Push-ups,25,Medium,5,14,138,70,125,1.859,0.789,232.0,fl_beginner
21,Female,163.0,86.7,32.63,Intermediate,Maintenance,Push-ups,37,Medium,4,15,152,60,148,3.941,0.764,421.4,mt_standard
35,Male,174.3,94.6,31.14,Advanced,Muscle Gain,Muscle-ups,52,High,3,7,159,21,156,2.628,0.859,1375.0,mg_advanced
43,Male,167.9,104.5,37.07,Beginner,Muscle Gain,Dips,33,Medium,4,11,140,44,132,2.375,0.791,375.6,mg_beginner
21,Male,163.6,69.3,25.89,Advanced,Muscle Gain,Muscle-ups,68,High,5,6,170,30,340,3.15,0.854,1255.8,mg_advanced
39,Male,187.2,71.2,20.32,Beginner,Muscle Gain,Push-ups,27,Low,4,8,126,32,108,1.78,0.696,146.6,mg_beginner
34,Female,162.5,101.2,38.32,Beginner,Muscle Gain,Push-ups,36,Low,3,12,129,36,108,2.891,0.694,227.1,mg_beginner
34,Male,181.2,96.0,29.24,Advanced,Fat Loss,Pull-ups,55,Low,4,15,122,60,220,2.743,0.656,677.8,fl_advanced
37,Female,168.3,43.2,15.25,Beginner,Muscle Gain,Push-ups,34,Low,5,9,127,45,170,1.137,0.694,114.6,mg_beginner
49,Male,174.7,107.3,35.16,Advanced,Fat Loss,Pull-ups,61,Medium,3,18,131,54,183,2.146,0.766,1039.7,fl_advanced
29,Male,172.4,66.0,22.21,Intermediate,Maintenance,Pull-ups,31,Medium,4,11,146,44,124,2.2,0.764,267.3,mt_standard
31,Female,159.1,64.4,25.44,Intermediate,Maintenance,Pull-ups,31,Medium,4,11,145,44,124,2.013,0.767,244.6,mt_standard
38,Male,169.9,125.9,43.62,Intermediate,Muscle Gain,Muscle-ups,38,Medium,4,8,141,32,152,3.228,0.775,896.6,mg_intermediate
19,Male,183.8,127.5,37.74,Beginner,Muscle Gain,Push-ups,29,Low,4,9,136,36,116,6.375,0.677,281.2,mg_beginner
32,Male,161.3,98.0,37.67,Intermediate,Fat Loss,Push-ups,49,High,4,18,163,72,196,2.97,0.867,846.5,fl_intermediate
28,Female,159.9,51.4,20.1,Advanced,Muscle Gain,L-sit,67,Low,5,11,125,55,335,1.772,0.651,241.1,mg_advanced
40,Female,162.6,103.4,39.11,Beginner,Muscle Gain,Squats,26,Medium,4,9,142,36,104,2.522,0.789,249.1,mg_beginner
28,Male,162.5,101.0,38.25,Beginner,Muscle Gain,Squats,29,Medium,5,12,150,60,145,3.483,0.781,268.5,mg_beginner
32,Male,178.4,133.8,42.04,Beginner,Muscle Gain,Push-ups,26,Low,5,7,130,35,130,4.055,0.691,283.9,mg_beginner
30,Female,161.9,94.6,36.09,Intermediate,Muscle Gain,Pull-ups,55,Low,3,10,127,30,165,3.052,0.668,460.4,mg_intermediate
23,Male,168.9,86.6,30.36,Beginner,Muscle Gain,Push-ups,43,Medium,5,10,153,50,215,3.608,0.777,382.9,mg_beginner
47,Male,171.4,51.5,17.53,Beginner,Fat Loss,Push-ups,23,Medium,3,15,137,45,69,1.073,0.792,125.1,fl_beginner
36,Female,168.1,91.5,32.38,Intermediate,Muscle Gain,Pull-ups,56,Medium,5,10,142,50,280,2.473,0.772,640.3,mg_intermediate
36,Female,162.8,52.9,19.96,Beginner,Fat Loss,Push-ups,36,Low,3,15,128,45,108,1.43,0.696,143.5,fl_beginner
46,Male,172.9,102.0,34.12,Advanced,Muscle Gain,Muscle-ups,61,High,4,10,150,40,244,2.17,0.862,1722.7,mg_advanced
16,Female,161.5,96.8,37.11,Intermediate,Muscle Gain,Dips,53,High,5,10,176,50,265,5.694,0.863,884.9,mg_intermediate
30,Male,169.9,118.4,41.02,Beginner,Fat Loss,Push-ups,24,Medium,5,16,148,80,120,3.819,0.779,354.0,fl_beginner
19,Male,182.5,90.6,27.2,Beginner,Muscle Gain,Push-ups,38,High,4,9,175,36,152,4.53,0.871,543.9,mg_beginner
27,Male,175.4,67.5,21.94,Intermediate,Maintenance,Pull-ups,42,Medium,2,15,148,30,84,2.411,0.767,340.4,mt_standard
28,Male,172.0,73.1,24.71,Intermediate,Maintenance,Squats,31,Medium,3,15,147,45,93,2.521,0.766,291.9,mt_standard
47,Male,166.4,95.0,34.31,Beginner,Fat Loss,Squats,21,Medium,3,13,137,39,63,1.979,0.792,206.7,fl_beginner
22,Female,159.2,56.8,22.41,Intermediate,Muscle Gain,Pull-ups,41,Medium,5,10,151,50,205,2.47,0.763,339.5,mg_intermediate
29,Male,174.2,71.1,23.43,Beginner,Maintenance,Push-ups,28,Medium,4,9,149,36,112,2.37,0.78,206.9,mt_standard
49,Male,165.3,65.5,23.97,Beginner,Fat Loss,Muscle-ups,39,Medium,5,15,136,75,195,1.31,0.795,350.3,fl_beginner
35,Male,164.7,117.6,43.35,Beginner,Muscle Gain,Dips,44,Medium,3,7,145,21,132,3.267,0.784,683.2,mg_beginner
42,Female,156.5,76.9,31.4,Beginner,Fat Loss,Squats,36,Medium,5,15,140,75,180,1.788,0.787,271.1,fl_beginner
38,Male,177.1,102.5,32.68,Intermediate,Muscle Gain,Pull-ups,45,High,4,9,158,36,180,2.628,0.868,793.6,mg_intermediate
20,Female,173.6,113.0,37.5,Advanced,Muscle Gain,L-sit,49,High,4,8,171,32,196,5.381,0.855,806.5,mg_advanced
34,Female,168.3,107.7,38.02,Advanced,Fat Loss,Pull-ups,53,High,3,17,160,51,159,3.077,0.86,1150.0,fl_advanced
33,Female,155.6,56.5,23.34,Advanced,Muscle Gain,L-sit,53,Medium,4,9,141,36,212,1.662,0.754,314.6,mg_advanced
48,Male,166.2,65.7,23.79,Beginner,Muscle Gain,Dips,34,Low,5,12,122,60,170,1.341,0.709,186.3,mg_beginner
34,Female,167.5,50.0,17.82,Intermediate,Fat Loss,Squats,30,Medium,3,20,143,60,90,1.429,0.769,181.6,fl_intermediate
46,Male,178.4,90.6,28.47,Beginner,Fat Loss,Squats,33,Medium,4,17,138,68,132,1.928,0.793,244.1,fl_beginner
48,Male,172.5,134.0,45.03,Intermediate,Muscle Gain,Dips,37,Medium,5,7,134,35,185,2.735,0.779,607.6,mg_intermediate
23,Male,165.3,91.9,33.63,Advanced,Maintenance,Pull-ups,46,High,3,11,169,33,138,3.829,0.858,952.6,mt_standard
35,Male,169.9,42.9,14.86,Beginner,Muscle Gain,Push-ups,29,Low,3,9,128,27,87,1.192,0.692,107.8,mg_beginner
47,Male,155.8,113.2,46.63,Beginner,Muscle Gain,Squats,25,Medium,5,11,137,55,125,2.358,0.792,287.1,mg_beginner
34,Male,190.6,66.3,18.25,Advanced,Fat Loss,Plank,60,High,5,18,160,90,300,1.894,0.86,493.9,fl_advanced
46,Male,178.5,72.8,22.85,Beginner,Fat Loss,Push-ups,39,Medium,5,20,138,100,195,1.549,0.793,335.8,fl_beginner
25,Male,172.1,111.6,37.68,Intermediate,Fat Loss,Pull-ups,48,High,4,20,169,80,192,4.292,0.867,1064.1,fl_intermediate
35,Female,167.5,90.3,32.19,Beginner,Maintenance,Squats,27,Low,4,15,128,60,108,2.508,0.692,179.4,mt_standard
22,Female,163.0,118.7,44.68,Beginner,Fat Loss,Squats,31,Low,4,15,135,60,124,5.161,0.682,273.6,fl_beginner
42,Male,177.7,104.1,32.97,Beginner,Muscle Gain,Squats,43,Low,4,8,125,32,172,2.421,0.702,310.2,mg_beginner
46,Female,164.7,62.0,22.86,Advanced,Maintenance,Muscle-ups,38,High,3,14,150,42,114,1.319,0.862,651.3,mt_standard
47,Male,178.3,130.2,40.96,Beginner,Fat Loss,Push-ups,22,Low,5,16,122,80,110,2.712,0.705,227.4,fl_beginner
19,Female,165.0,96.3,35.37,Advanced,Muscle Gain,Muscle-ups,56,Medium,3,11,150,33,168,4.815,0.746,1130.0,mg_advanced
42,Male,188.1,87.9,24.84,Beginner,Muscle Gain,Squats,39,Medium,3,12,140,36,117,2.044,0.787,324.8,mg_beginner
25,Male,187.3,118.7,33.84,Intermediate,Muscle Gain,Pull-ups,47,Medium,4,9,149,36,188,4.565,0.764,670.8,mg_intermediate
25,Female,161.4,73.0,28.02,Intermediate,Fat Loss,Pull-ups,42,Low,3,20,130,60,126,2.808,0.667,261.6,fl_intermediate
27,Female,168.6,127.8,44.96,Beginner,Maintenance,Squats,24,Medium,4,12,150,48,96,4.564,0.777,371.7,mt_standard
48,Male,171.5,108.6,36.92,Intermediate,Maintenance,Pull-ups,43,High,4,13,150,52,172,2.216,0.872,885.7,mt_standard
22,Male,181.7,85.8,25.99,Intermediate,Muscle Gain,Squats,42,Medium,4,10,151,40,168,3.73,0.763,491.3,mg_intermediate
41,Male,173.8,70.2,23.24,Beginner,Muscle Gain,Dips,43,Low,3,9,125,27,129,1.671,0.698,239.5,mg_beginner
31,Female,163.7,96.6,36.05,Beginner,Muscle Gain,Push-ups,26,Low,4,8,130,32,104,3.019,0.688,213.2,mg_beginner
48,Female,150.6,63.1,27.82,Intermediate,Muscle Gain,Dips,57,Low,5,6,118,30,285,1.288,0.686,357.1,mg_intermediate
16,Male,182.9,75.0,22.42,Intermediate,Muscle Gain,Squats,42,High,5,12,176,60,210,4.412,0.863,524.2,mg_intermediate
31,Male,173.9,63.1,20.87,Advanced,Fat Loss,Pull-ups,50,Medium,4,14,143,56,200,1.972,0.757,532.8,fl_advanced
24,Female,170.4,79.4,27.35,Intermediate,Muscle Gain,Squats,37,Low,4,8,130,32,148,3.176,0.663,263.0,mg_intermediate
19,Male,163.0,57.9,21.79,Beginner,Fat Loss,Plank,22,Medium,3,16,155,48,66,2.895,0.771,77.8,fl_beginner
53,Female,180.0,40.0,12.35,Beginner,Fat Loss,Plank,36,Medium,3,14,133,42,108,0.741,0.796,93.6,fl_beginner
43,Male,182.6,49.7,14.91,Beginner,Fat Loss,Push-ups,37,Medium,3,14,140,42,111,1.13,0.791,239.6,fl_beginner
24,Female,162.7,75.2,28.41,Advanced,Muscle Gain,Handstand,56,Medium,4,10,147,40,224,3.008,0.75,478.4,mg_advanced
39,Female,164.7,76.4,28.16,Advanced,Muscle Gain,Muscle-ups,68,High,3,11,156,33,204,1.91,0.862,1503.2,mg_advanced
20,Female,170.2,69.8,24.1,Intermediate,Muscle Gain,Pull-ups,51,High,3,6,173,18,153,3.324,0.865,574.6,mg_intermediate
41,Female,175.4,71.8,23.34,Intermediate,Muscle Gain,Pull-ups,58,Low,4,6,122,24,232,1.71,0.682,429.9,mg_intermediate
51,Female,168.6,88.0,30.96,Beginner,Fat Loss,Squats,27,Medium,3,19,135,57,81,1.692,0.799,274.4,fl_beginner
41,Female,160.6,58.2,22.56,Beginner,Muscle Gain,Push-ups,37,Medium,5,11,141,55,185,1.386,0.788,247.5,mg_beginner
18,Male,172.3,103.6,34.9,Beginner,Muscle Gain,Push-ups,27,Medium,4,12,156,48,108,5.453,0.772,324.5,mg_beginner
30,Male,165.1,95.5,35.04,Beginner,Fat Loss,Push-ups,29,Low,5,18,131,90,145,3.081,0.689,259.0,fl_beginner
31,Male,181.8,102.1,30.89,Intermediate,Maintenance,Squats,38,Medium,3,11,145,33,114,3.191,0.767,477.6,mt_standard
20,Male,171.2,90.1,30.74,Intermediate,Fat Loss,Pull-ups,40,Low,3,20,132,60,120,4.29,0.66,339.7,fl_intermediate
43,Female,163.9,81.2,30.23,Advanced,Muscle Gain,Plank,67,Medium,3,7,135,21,201,1.845,0.763,353.7,mg_advanced
39,Female,159.3,63.9,25.18,Beginner,Maintenance,Push-ups,28,Low,2,13,126,26,56,1.597,0.696,139.0,mt_standard
16,Female,148.0,76.4,34.88,Intermediate,Maintenance,Squats,31,Low,2,11,134,22,62,4.494,0.657,217.5,mt_standard
48,Female,159.6,122.2,47.97,Beginner,Maintenance,Squats,21,Medium,4,11,137,44,84,2.494,0.797,264.6,mt_standard
34,Male,169.4,58.7,20.46,Beginner,Fat Loss,Plank,25,Medium,4,16,146,64,100,1.677,0.785,80.1,fl_beginner
20,Male,173.9,99.6,32.94,Advanced,Muscle Gain,Handstand,60,Low,5,9,129,45,300,4.743,0.645,539.6,mg_advanced
24,Female,160.8,62.1,24.02,Beginner,Fat Loss,Push-ups,39,Low,5,18,134,90,195,2.484,0.684,222.7,fl_beginner
36,Female,164.5,93.5,34.55,Advanced,Muscle Gain,Muscle-ups,47,High,5,9,158,45,235,2.527,0.859,1204.6,mg_advanced
36,Female,167.9,115.1,40.83,Beginner,Maintenance,Push-ups,20,Medium,3,8,144,24,60,3.111,0.783,234.4,mt_standard
39,Male,167.5,69.1,24.63,Intermediate,Maintenance,Push-ups,39,High,2,8,157,16,78,1.727,0.867,489.7,mt_standard
48,Male,183.7,114.3,33.87,Intermediate,Maintenance,Pull-ups,26,Medium,3,10,134,30,78,2.333,0.779,366.5,mt_standard
17,Female,153.2,81.1,34.55,Intermediate,Muscle Gain,Squats,50,High,3,6,175,18,150,4.506,0.862,692.5,mg_intermediate
38,Male,176.0,97.1,31.35,Beginner,Fat Loss,Squats,23,Medium,4,17,143,68,92,2.49,0.786,251.6,fl_beginner
34,Male,183.3,82.8,24.64,Beginner,Muscle Gain,Dips,36,Low,4,11,129,44,144,2.366,0.694,239.2,mg_beginner
37,Male,172.2,100.1,33.76,Advanced,Muscle Gain,Muscle-ups,54,Medium,3,10,139,30,162,2.634,0.76,1247.8,mg_advanced
33,Male,177.5,93.1,29.55,Intermediate,Maintenance,Pull-ups,42,Medium,2,10,144,20,84,2.738,0.77,497.8,mt_standard
43,Male,169.9,106.2,36.79,Beginner,Maintenance,Squats,22,Medium,4,15,140,60,88,2.414,0.791,204.6,mt_standard
26,Female,160.8,96.8,37.44,Intermediate,Muscle Gain,Dips,50,Medium,3,8,148,24,150,3.585,0.763,645.0,mg_intermediate
18,Male,174.9,112.5,36.78,Advanced,Fat Loss,Plank,42,Low,4,15,130,60,168,5.921,0.644,228.0,fl_advanced
24,Male,182.6,41.2,12.36,Intermediate,Muscle Gain,Dips,40,Low,5,12,130,60,200,1.648,0.663,156.6,mg_intermediate
19,Female,170.4,94.6,32.58,Beginner,Maintenance,Push-ups,33,Low,4,10,136,40,132,4.73,0.677,226.3,mt_standard
27,Female,163.8,110.7,41.26,Beginner,Fat Loss,Push-ups,36,Low,4,20,132,80,144,3.954,0.684,302.4,fl_beginner
